# synthetic engineering approximation -- replace with XFoil data
name,re,alpha_deg,cl,cd
naca4412,1.000000e+06,-20,-1.031504,0.111496
naca4412,1.000000e+06,-19,-1.137805,0.099796
naca4412,1.000000e+06,-18,-1.244106,0.088095
naca4412,1.000000e+06,-17,-1.350406,0.076394
naca4412,1.000000e+06,-16,-1.456707,0.064693
naca4412,1.000000e+06,-15,-1.563008,0.052993
naca4412,1.000000e+06,-14,-1.669309,0.041292
naca4412,1.000000e+06,-13,-1.075610,0.029591
naca4412,1.000000e+06,-12,-0.965947,0.017890
naca4412,1.000000e+06,-11,-0.856285,0.016231
naca4412,1.000000e+06,-10,-0.746623,0.014715
naca4412,1.000000e+06,-9,-0.636960,0.013345
naca4412,1.000000e+06,-8,-0.527298,0.012118
naca4412,1.000000e+06,-7,-0.417636,0.011036
naca4412,1.000000e+06,-6,-0.307974,0.010098
naca4412,1.000000e+06,-5,-0.198311,0.009304
naca4412,1.000000e+06,-4,-0.088649,0.008654
naca4412,1.000000e+06,-3,0.021013,0.008149
naca4412,1.000000e+06,-2,0.130675,0.007789
naca4412,1.000000e+06,-1,0.240338,0.007572
naca4412,1.000000e+06,0,0.350000,0.007500
naca4412,1.000000e+06,1,0.459662,0.007572
naca4412,1.000000e+06,2,0.569325,0.007789
naca4412,1.000000e+06,3,0.678987,0.008149
naca4412,1.000000e+06,4,0.788649,0.008654
naca4412,1.000000e+06,5,0.898311,0.009304
naca4412,1.000000e+06,6,1.007974,0.010098
naca4412,1.000000e+06,7,1.117636,0.011036
naca4412,1.000000e+06,8,1.227298,0.012118
naca4412,1.000000e+06,9,1.336960,0.013345
naca4412,1.000000e+06,10,1.446623,0.014715
naca4412,1.000000e+06,11,1.556285,0.016231
naca4412,1.000000e+06,12,1.665947,0.017890
naca4412,1.000000e+06,13,1.775610,0.029591
naca4412,1.000000e+06,14,1.669309,0.041292
naca4412,1.000000e+06,15,1.563008,0.052993
naca4412,1.000000e+06,16,1.456707,0.064693
naca4412,1.000000e+06,17,1.350406,0.076394
naca4412,1.000000e+06,18,1.244106,0.088095
naca4412,1.000000e+06,19,1.137805,0.099796
naca4412,1.000000e+06,20,1.031504,0.111496
naca4412,1.000000e+06,21,0.925203,0.123197
naca4412,1.000000e+06,22,0.818902,0.134898
naca4412,1.000000e+06,23,0.712602,0.146599
naca4412,1.000000e+06,24,0.606301,0.158299
naca4412,1.000000e+06,25,0.500000,0.170000
naca4412,1.000000e+06,26,0.500000,0.170000
naca4412,1.000000e+06,27,0.500000,0.170000
naca4412,1.000000e+06,28,0.500000,0.170000
naca4412,1.000000e+06,29,0.500000,0.170000
naca4412,1.000000e+06,30,0.500000,0.170000
naca4412,1.000000e+06,31,0.500000,0.170000
naca4412,1.000000e+06,32,0.500000,0.170000
naca4412,1.000000e+06,33,0.500000,0.170000
naca4412,1.000000e+06,34,0.500000,0.170000
naca4412,1.000000e+06,35,0.500000,0.170000
naca4412,1.000000e+06,36,0.500000,0.170000
naca4412,1.000000e+06,37,0.500000,0.170000
naca4412,1.000000e+06,38,0.500000,0.170000
naca4412,1.000000e+06,39,0.500000,0.170000
naca4412,1.000000e+06,40,0.500000,0.170000
naca4412,1.000000e+06,41,0.500000,0.170000
naca4412,1.000000e+06,42,0.500000,0.170000
naca4412,1.000000e+06,43,0.500000,0.170000
naca4412,1.000000e+06,44,0.500000,0.170000
naca4412,1.000000e+06,45,0.500000,0.170000
