# synthetic engineering approximation -- replace with XFoil data
name,re,alpha_deg,cl,cd
naca0012,1.000000e+05,-20,-0.757750,0.111381
naca0012,1.000000e+05,-19,-0.819300,0.099657
naca0012,1.000000e+05,-18,-0.880850,0.087933
naca0012,1.000000e+05,-17,-0.942400,0.076209
naca0012,1.000000e+05,-16,-1.003950,0.064486
naca0012,1.000000e+05,-15,-1.065500,0.052762
naca0012,1.000000e+05,-14,-1.127050,0.041038
naca0012,1.000000e+05,-13,-1.188600,0.029314
naca0012,1.000000e+05,-12,-1.315947,0.017590
naca0012,1.000000e+05,-11,-1.206285,0.015931
naca0012,1.000000e+05,-10,-1.096623,0.014415
naca0012,1.000000e+05,-9,-0.986960,0.013045
naca0012,1.000000e+05,-8,-0.877298,0.011818
naca0012,1.000000e+05,-7,-0.767636,0.010736
naca0012,1.000000e+05,-6,-0.657974,0.009798
naca0012,1.000000e+05,-5,-0.548311,0.009004
naca0012,1.000000e+05,-4,-0.438649,0.008354
naca0012,1.000000e+05,-3,-0.328987,0.007849
naca0012,1.000000e+05,-2,-0.219325,0.007489
naca0012,1.000000e+05,-1,-0.109662,0.007272
naca0012,1.000000e+05,0,0.000000,0.007200
naca0012,1.000000e+05,1,0.109662,0.007272
naca0012,1.000000e+05,2,0.219325,0.007489
naca0012,1.000000e+05,3,0.328987,0.007849
naca0012,1.000000e+05,4,0.438649,0.008354
naca0012,1.000000e+05,5,0.548311,0.009004
naca0012,1.000000e+05,6,0.657974,0.009798
naca0012,1.000000e+05,7,0.767636,0.010736
naca0012,1.000000e+05,8,0.877298,0.011818
naca0012,1.000000e+05,9,0.986960,0.013045
naca0012,1.000000e+05,10,1.096623,0.014415
naca0012,1.000000e+05,11,1.206285,0.015931
naca0012,1.000000e+05,12,1.315947,0.017590
naca0012,1.000000e+05,13,1.188600,0.029314
naca0012,1.000000e+05,14,1.127050,0.041038
naca0012,1.000000e+05,15,1.065500,0.052762
naca0012,1.000000e+05,16,1.003950,0.064486
naca0012,1.000000e+05,17,0.942400,0.076209
naca0012,1.000000e+05,18,0.880850,0.087933
naca0012,1.000000e+05,19,0.819300,0.099657
naca0012,1.000000e+05,20,0.757750,0.111381
naca0012,1.000000e+05,21,0.696200,0.123105
naca0012,1.000000e+05,22,0.634650,0.134829
naca0012,1.000000e+05,23,0.573100,0.146552
naca0012,1.000000e+05,24,0.511550,0.158276
naca0012,1.000000e+05,25,0.450000,0.170000
naca0012,1.000000e+05,26,0.450000,0.170000
naca0012,1.000000e+05,27,0.450000,0.170000
naca0012,1.000000e+05,28,0.450000,0.170000
naca0012,1.000000e+05,29,0.450000,0.170000
naca0012,1.000000e+05,30,0.450000,0.170000
naca0012,1.000000e+05,31,0.450000,0.170000
naca0012,1.000000e+05,32,0.450000,0.170000
naca0012,1.000000e+05,33,0.450000,0.170000
naca0012,1.000000e+05,34,0.450000,0.170000
naca0012,1.000000e+05,35,0.450000,0.170000
naca0012,1.000000e+05,36,0.450000,0.170000
naca0012,1.000000e+05,37,0.450000,0.170000
naca0012,1.000000e+05,38,0.450000,0.170000
naca0012,1.000000e+05,39,0.450000,0.170000
naca0012,1.000000e+05,40,0.450000,0.170000
naca0012,1.000000e+05,41,0.450000,0.170000
naca0012,1.000000e+05,42,0.450000,0.170000
naca0012,1.000000e+05,43,0.450000,0.170000
naca0012,1.000000e+05,44,0.450000,0.170000
naca0012,1.000000e+05,45,0.450000,0.170000
