# synthetic engineering approximation -- replace with XFoil data
name,re,alpha_deg,cl,cd
naca0012,3.000000e+05,-20,-0.783057,0.110919
naca0012,3.000000e+05,-19,-0.849668,0.099103
naca0012,3.000000e+05,-18,-0.916279,0.087287
naca0012,3.000000e+05,-17,-0.982891,0.075471
naca0012,3.000000e+05,-16,-1.049502,0.063655
naca0012,3.000000e+05,-15,-1.116113,0.051839
naca0012,3.000000e+05,-14,-1.182725,0.040023
naca0012,3.000000e+05,-13,-1.249336,0.028206
naca0012,3.000000e+05,-12,-1.315947,0.016390
naca0012,3.000000e+05,-11,-1.206285,0.014731
naca0012,3.000000e+05,-10,-1.096623,0.013215
naca0012,3.000000e+05,-9,-0.986960,0.011845
naca0012,3.000000e+05,-8,-0.877298,0.010618
naca0012,3.000000e+05,-7,-0.767636,0.009536
naca0012,3.000000e+05,-6,-0.657974,0.008598
naca0012,3.000000e+05,-5,-0.548311,0.007804
naca0012,3.000000e+05,-4,-0.438649,0.007154
naca0012,3.000000e+05,-3,-0.328987,0.006649
naca0012,3.000000e+05,-2,-0.219325,0.006289
naca0012,3.000000e+05,-1,-0.109662,0.006072
naca0012,3.000000e+05,0,0.000000,0.006000
naca0012,3.000000e+05,1,0.109662,0.006072
naca0012,3.000000e+05,2,0.219325,0.006289
naca0012,3.000000e+05,3,0.328987,0.006649
naca0012,3.000000e+05,4,0.438649,0.007154
naca0012,3.000000e+05,5,0.548311,0.007804
naca0012,3.000000e+05,6,0.657974,0.008598
naca0012,3.000000e+05,7,0.767636,0.009536
naca0012,3.000000e+05,8,0.877298,0.010618
naca0012,3.000000e+05,9,0.986960,0.011845
naca0012,3.000000e+05,10,1.096623,0.013215
naca0012,3.000000e+05,11,1.206285,0.014731
naca0012,3.000000e+05,12,1.315947,0.016390
naca0012,3.000000e+05,13,1.249336,0.028206
naca0012,3.000000e+05,14,1.182725,0.040023
naca0012,3.000000e+05,15,1.116113,0.051839
naca0012,3.000000e+05,16,1.049502,0.063655
naca0012,3.000000e+05,17,0.982891,0.075471
naca0012,3.000000e+05,18,0.916279,0.087287
naca0012,3.000000e+05,19,0.849668,0.099103
naca0012,3.000000e+05,20,0.783057,0.110919
naca0012,3.000000e+05,21,0.716445,0.122735
naca0012,3.000000e+05,22,0.649834,0.134552
naca0012,3.000000e+05,23,0.583223,0.146368
naca0012,3.000000e+05,24,0.516611,0.158184
naca0012,3.000000e+05,25,0.450000,0.170000
naca0012,3.000000e+05,26,0.450000,0.170000
naca0012,3.000000e+05,27,0.450000,0.170000
naca0012,3.000000e+05,28,0.450000,0.170000
naca0012,3.000000e+05,29,0.450000,0.170000
naca0012,3.000000e+05,30,0.450000,0.170000
naca0012,3.000000e+05,31,0.450000,0.170000
naca0012,3.000000e+05,32,0.450000,0.170000
naca0012,3.000000e+05,33,0.450000,0.170000
naca0012,3.000000e+05,34,0.450000,0.170000
naca0012,3.000000e+05,35,0.450000,0.170000
naca0012,3.000000e+05,36,0.450000,0.170000
naca0012,3.000000e+05,37,0.450000,0.170000
naca0012,3.000000e+05,38,0.450000,0.170000
naca0012,3.000000e+05,39,0.450000,0.170000
naca0012,3.000000e+05,40,0.450000,0.170000
naca0012,3.000000e+05,41,0.450000,0.170000
naca0012,3.000000e+05,42,0.450000,0.170000
naca0012,3.000000e+05,43,0.450000,0.170000
naca0012,3.000000e+05,44,0.450000,0.170000
naca0012,3.000000e+05,45,0.450000,0.170000
